Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,OperatingSystems_2,OperatingSystems_3,OperatingSystems_4,OperatingSystems_5,OperatingSystems_6,OperatingSystems_7,OperatingSystems_8,Browser_2,Browser_3,Browser_4,Browser_5,Browser_6,Browser_7,Browser_8,Browser_10,Browser_11,Browser_13,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_7,TrafficType_8,TrafficType_9,TrafficType_10,TrafficType_11,TrafficType_13,TrafficType_14,TrafficType_15,TrafficType_20,VisitorType_Other,VisitorType_Returning_Visitor,Weekend_True,avg_time_per_page,purchase_per_session
3,0.35710333514189735,0,-0.2702109693295498,48,0.09502804236175971,-0.28870538106918586,-0.7118530585752033,-0.34801785278265523,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.5124036648700614,0.0
6,2.2872698501158695,2,2.4237155824535366,83,1.6953314031175946,-0.4751948425797476,-1.1473939099365513,-0.2384613855440565,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.1641256486042334,0.00039922043730174743
2,0.3472853115845952,0,-0.2702109693295498,10,-0.3961991158609675,0.056990785241783054,0.00332192344316091,1.5778048688814565,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8950383459018176,0.0
1,-0.43161122396137575,0,-0.2702109693295498,9,-0.6072209431838606,2.2254486897879855,1.1693914932794092,-0.34801785278265523,0.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.325552209290103,0.0
0,-0.5756089028018073,0,-0.2702109693295498,14,-0.8589221197110659,3.051527932823832,2.4169796043091045,-0.34801785278265523,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.8890539353789579,0.0
0,-0.5756089028018073,0,-0.2702109693295498,12,-0.8467219896509837,0.779810144582728,2.6083709875235193,-0.34801785278265523,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.7733494340219144,0.0
8,0.4029207784093074,0,-0.2702109693295498,55,1.800182575621018,-0.3814405242168984,-0.9715887347804834,2.2110055077336734,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0.5297322054251377,0.0
6,0.3429217453409492,0,-0.2702109693295498,9,-0.9669410419742968,-0.6658284873608458,-1.1556590845836021,-0.34801785278265523,0.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0381370705359034,0.0
0,-0.5756089028018073,0,-0.2702109693295498,29,-0.36851915222278425,1.1928496793623353,1.2914161478895532,-0.34801785278265523,0.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.5297661333201455,0.0
4,0.0903803618351888,2,0.4788961804976299,37,0.37638391688620565,0.30128864559974494,0.04870602845848477,-0.34801785278265523,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.028080036209342425,0.0
